,invoice_id,issue_date,creation_date,invoice_type,buyer_company_name,vendor_company_name,payment_status,days_since_issue,past_due,total_amount_with_taxes,work_description,payment_status_norm
1570,1625,2024-11-30,2024-11-20T19:41:00+00:00,Regular,Jean Coutu Du Plateau,13037622 Canada Inc,Unpaid,417,True,2125.52,Janitorial Services at 205 Boul du Plateau (Jean Coutu 317-Plateau)- November 2024,unpaid
1978,2047,2025-01-30,2025-01-30T18:39:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,356,True,480.25,"TDA0616-TDC77938215	Steam washing  of interior carpets with truck mount (requested by the client) 	January 24,2025",unpaid
2018,2087,2025-02-28,2025-02-11T14:47:00+00:00,Regular,Allen Maintenance Ltd63- DO NOT USE,15652286 Canada Inc-Anssuini,Unpaid,327,True,534.15,Janitorial Services at Ottawa Police Association-September 2024,unpaid
2083,2152,2025-02-28,2025-02-25T15:15:00+00:00,Regular,Jean Coutu Du Plateau,13037622 Canada Inc,Unpaid,327,True,2744.77,Janitorial Services at 205 Boul du Plateau (Jean Coutu 317-Plateau)- February 2025,unpaid
2229,2300,2025-03-31,2025-03-22T18:52:00+00:00,Regular,Jean Coutu Du Plateau,13037622 Canada Inc,Unpaid,296,True,2744.77,Janitorial Services at 205 Boul du Plateau (Jean Coutu 317-Plateau)- March 2025,unpaid
2363,2440,2025-04-30,2025-04-01T17:19:00+00:00,Regular,10342548 Canda Inc,12887533 Canada Inc-Ramirez,Unpaid,266,True,1127.38,Janitorial Services 311 McArthur Ave,unpaid
2369,2446,2025-04-30,2025-04-01T18:09:00+00:00,Regular,10342548 Canda Inc,12887533 Canada Inc-Ramirez,Unpaid,266,True,805.13,"Janitorial Services, 2355 St Laurent, ottawa,ON",unpaid
2370,2447,2025-04-30,2025-04-01T18:14:00+00:00,Regular,10342548 Canda Inc,12887533 Canada Inc-Ramirez,Unpaid,266,True,254.25,"Janitorial Services, 366 Brant, ottawa,ON",unpaid
2373,2450,2025-04-30,2025-04-01T21:52:00+00:00,Regular,10342548 Canda Inc,12887533 Canada Inc-Ramirez,Unpaid,266,True,586.19,"Janitorial Services 21 James St , Ottawa ON ( 1 to 15 March 2025 )",unpaid
2375,2452,2025-04-30,2025-04-01T22:06:00+00:00,Regular,10342548 Canda Inc,12887533 Canada Inc-Ramirez,Unpaid,266,True,586.19,"Janitorial Services 420 Gilmour St , Ottawa , ON    MARCH ( 1-15 ) 2025",unpaid
2446,2533,2025-04-16,2025-04-16T14:35:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,280,True,706.25,"99 Fifth Av (bank and fifth Commercial) - Carpet Cleaning - March 11th, 2025",unpaid
2514,2605,2025-04-30,2025-04-23T15:15:00+00:00,Regular,Jean Coutu Du Plateau,13037622 Canada Inc,Unpaid,266,True,2744.77,Janitorial Services at 205 Boul du Plateau (Jean Coutu 317-Plateau)- April 2025,unpaid
2609,2701,2025-04-28,2025-04-28T16:01:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,268,True,546.13,"B03294 - BCA78760023Strip and wax of the floor in the mechanical room located inside the garage ( Dans le Garage dans le bureau des mécanicien il faudrait décapé et ciré le plancher svp me prévenir quand ca sera fait)April 26,2025",unpaid
2610,2702,2025-04-28,2025-04-28T16:03:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,268,True,718.59,"B09146- BCA79080678Interior Carpet Cleaning April 25,2025",unpaid
2639,2732,2025-05-01,2025-05-01T09:24:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,265,True,201.21,"BMO1233 - BMO78854564Service call to remove the plexiglass in the corner of the lobbyApril 30,2025",unpaid
2641,2734,2025-05-06,2025-05-06T16:31:00+00:00,One Shot,Controlnet,12433087 Canada Inc.,Unpaid,260,True,201.21,"550 De la Cite- clean the locker inside and around and the ceiling pipe - March 20th, 2025",unpaid
